PACKET_TYPE,TIMESTAMP,NODE_ID,RSSI,TEMP,HUMIDITY,SOIL,SMOKE,SOUND,V_BAT,SOC,SD_PCT
GSN_RCV,20260604_133341,GSN-01,-73,26.30,73.60,43,0,0,7.78,83,8.51
GSN_RCV,20260604_133342,GSN-01,-79,25.00,73.60,43,0,0,7.77,83,8.51
GSN_RCV,20260604_133343,GSN-01,-86,25.40,71.80,36,0,0,7.75,83,8.52
GSN_RCV,20260604_133344,GSN-01,-93,25.50,74.00,35,0,0,7.78,84,8.52
GSN_RCV,20260604_133345,GSN-01,-80,24.60,78.00,44,0,0,7.74,83,8.53
GSN_RCV,20260604_133346,GSN-01,-90,24.40,74.60,40,0,0,7.76,84,8.53
GSN_RCV,20260604_133347,GSN-01,-76,24.90,80.40,43,0,0,7.76,84,8.54
GSN_RCV,20260604_133348,GSN-01,-72,24.40,72.50,37,0,0,7.74,84,8.54
GSN_RCV,20260604_133349,GSN-01,-72,26.50,79.40,40,0,0,7.75,84,8.55
GSN_RCV,20260604_133350,GSN-01,-95,24.30,79.50,38,0,0,7.77,83,8.55
GSN_RCV,20260604_133351,GSN-01,-74,24.70,71.80,38,0,1,7.75,84,8.56
GSN_RCV,20260604_133352,GSN-01,-83,26.40,73.70,42,1,0,7.75,83,8.56
GSN_RCV,20260604_133353,GSN-01,-95,25.30,75.90,35,0,0,7.76,84,8.57
GSN_RCV,20260604_133354,GSN-01,-79,25.00,74.20,35,0,0,7.78,83,8.57
GSN_RCV,20260604_133355,GSN-01,-90,26.30,75.40,43,0,0,7.76,83,8.58
GSN_RCV,20260604_133356,GSN-01,-77,26.40,73.40,36,0,1,7.77,83,8.58
GSN_RCV,20260604_133357,GSN-01,-72,23.90,75.20,44,1,0,7.78,84,8.59
GSN_RCV,20260604_133358,GSN-01,-89,25.00,80.00,37,0,1,7.78,83,8.59
GSN_RCV,20260604_133359,GSN-01,-92,25.60,80.20,44,0,0,7.78,84,8.60
GSN_RCV,20260604_133400,GSN-01,-90,26.40,75.00,40,0,0,7.74,83,8.60
