PACKET_TYPE,TIMESTAMP,NODE_ID,RSSI,TEMP,HUMIDITY,SOIL,SMOKE,SOUND,V_BAT,SOC,SD_PCT
GSN_RCV,20240415_083341,GSN-01,-77,24.20,74.40,36,0,0,7.74,84,8.51
GSN_RCV,20240415_083342,GSN-01,-72,26.50,78.40,37,0,0,7.77,83,8.51
GSN_RCV,20240415_083343,GSN-01,-87,23.90,80.90,41,0,1,7.75,83,8.52
GSN_RCV,20240415_083344,GSN-01,-94,24.70,80.60,42,0,0,7.75,83,8.52
GSN_RCV,20240415_083345,GSN-01,-89,24.90,75.00,44,0,0,7.77,84,8.53
GSN_RCV,20240415_083346,GSN-01,-78,26.20,73.00,42,0,0,7.76,83,8.53
GSN_RCV,20240415_083347,GSN-01,-84,24.80,79.30,35,0,0,7.75,83,8.54
GSN_RCV,20240415_083348,GSN-01,-72,24.70,80.90,40,0,0,7.78,84,8.54
GSN_RCV,20240415_083349,GSN-01,-75,24.60,72.70,42,0,0,7.77,83,8.55
GSN_RCV,20240415_083350,GSN-01,-86,25.40,77.60,40,0,1,7.74,84,8.55
GSN_RCV,20240415_083351,GSN-01,-90,25.40,72.70,35,0,0,7.74,83,8.56
GSN_RCV,20260531_150000,GSN-01,-75,25.1,76.4,40,0,0,7.78,84,8.5
GSN_RCV,20240415_083352,GSN-01,-89,24.50,80.80,39,0,0,7.74,84,8.56
GSN_RCV,20240415_083353,GSN-01,-94,25.00,74.20,40,0,0,7.78,83,8.57
GSN_RCV,20240415_083354,GSN-01,-88,24.80,74.10,41,0,0,7.75,84,8.57
GSN_RCV,20240415_083355,GSN-01,-86,24.30,75.60,42,0,1,7.75,84,8.58
GSN_RCV,20240415_083356,GSN-01,-92,25.10,72.90,40,0,0,7.77,83,8.58
GSN_RCV,20240415_083357,GSN-01,-84,23.90,74.10,43,0,0,7.75,84,8.59
GSN_RCV,20240415_083358,GSN-01,-78,24.50,78.00,39,0,0,7.76,83,8.59
GSN_RCV,20240415_083359,GSN-01,-73,24.20,77.00,35,0,0,7.74,83,8.60
GSN_RCV,20240415_083400,GSN-01,-78,24.60,72.00,42,0,1,7.78,84,8.60
GSN_RCV,20240415_083401,GSN-01,-93,23.60,80.70,42,0,0,7.75,84,8.61
GSN_RCV,20240415_083402,GSN-01,-86,25.90,79.60,40,0,0,7.75,84,8.61
GSN_RCV,20240415_083403,GSN-01,-95,25.00,76.70,40,0,0,7.78,84,8.62
GSN_RCV,20240415_083404,GSN-01,-87,26.30,76.60,36,0,0,7.75,84,8.62
GSN_RCV,20240415_083405,GSN-01,-80,24.80,75.80,39,0,0,7.76,84,8.63
GSN_RCV,20240415_083406,GSN-01,-83,24.90,81.20,37,0,0,7.75,84,8.63
GSN_RCV,20240415_083407,GSN-01,-94,26.20,73.10,39,0,0,7.75,84,8.64
GSN_RCV,20240415_083408,GSN-01,-89,26.50,76.60,35,0,0,7.75,84,8.64
GSN_RCV,20240415_083409,GSN-01,-78,25.80,79.70,43,0,0,7.76,84,8.65
GSN_RCV,20240415_083410,GSN-01,-94,26.00,74.00,44,0,0,7.74,83,8.65
GSN_RCV,20240415_083411,GSN-01,-91,24.90,76.60,38,0,0,7.75,83,8.66
GSN_RCV,20240415_083412,GSN-01,-74,25.90,78.00,41,0,0,7.78,83,8.66
GSN_RCV,20240415_083413,GSN-01,-92,25.80,77.20,38,0,0,7.77,84,8.67
GSN_RCV,20240415_083414,GSN-01,-89,23.90,77.10,39,0,0,7.75,83,8.67
GSN_RCV,20240415_083415,GSN-01,-89,23.70,73.60,39,0,0,7.78,84,8.68
GSN_RCV,20240415_083416,GSN-01,-86,26.50,79.20,41,0,0,7.74,83,8.68
GSN_RCV,20240415_083417,GSN-01,-73,26.00,80.20,40,0,0,7.78,84,8.69
GSN_RCV,20240415_083418,GSN-01,-71,26.50,76.30,37,0,0,7.75,84,8.69
GSN_RCV,20240415_083419,GSN-01,-78,25.10,79.00,38,0,0,7.76,84,8.70
GSN_RCV,20240415_083420,GSN-01,-85,26.00,79.60,35,0,0,7.74,84,8.70
GSN_RCV,20240415_083421,GSN-01,-85,25.50,71.80,44,0,0,7.77,84,8.71
GSN_RCV,20240415_083443,GSN-01,-77,26.50,81.30,38,0,0,7.76,83,8.71
GSN_RCV,20240415_083444,GSN-01,-88,26.30,79.20,40,0,0,7.77,84,8.72
GSN_RCV,20240415_083445,GSN-01,-94,23.90,75.70,36,0,0,7.75,83,8.72
GSN_RCV,20240415_083446,GSN-01,-87,25.80,71.90,40,0,0,7.78,83,8.73
GSN_RCV,20240415_083447,GSN-01,-88,26.50,71.40,43,0,1,7.78,84,8.73
GSN_RCV,20240415_083448,GSN-01,-78,25.90,76.90,36,0,0,7.77,84,8.74
GSN_RCV,20240415_083449,GSN-01,-93,24.70,79.20,37,0,0,7.74,83,8.74
GSN_RCV,20240415_083450,GSN-01,-79,23.90,77.80,42,0,0,7.76,83,8.75
GSN_RCV,20240415_083451,GSN-01,-83,25.20,74.30,37,0,0,7.77,84,8.75
GSN_RCV,20240415_083452,GSN-01,-85,25.40,78.10,44,0,0,7.76,83,8.76
GSN_RCV,20240415_083453,GSN-01,-85,26.00,79.50,37,0,0,7.76,83,8.76
GSN_RCV,20240415_083454,GSN-01,-92,24.30,78.30,44,0,0,7.78,84,8.77
GSN_RCV,20240415_083455,GSN-01,-89,26.50,79.60,35,0,0,7.77,83,8.77
GSN_RCV,20240415_083456,GSN-01,-85,24.40,74.80,40,0,0,7.75,84,8.78
GSN_RCV,20240415_083457,GSN-01,-94,24.30,79.00,37,0,0,7.77,83,8.78
GSN_RCV,20240415_083458,GSN-01,-94,25.00,73.80,42,0,0,7.78,83,8.79
GSN_RCV,20240415_083459,GSN-01,-81,25.80,74.10,42,0,0,7.78,83,8.79
GSN_RCV,20240415_083500,GSN-01,-79,23.80,78.30,36,0,0,7.74,84,8.80
GSN_RCV,20240415_083501,GSN-01,-80,25.30,81.30,44,0,0,7.76,83,8.80
GSN_RCV,20240415_083502,GSN-01,-74,24.30,72.60,43,0,0,7.74,84,8.81
GSN_RCV,20240415_083503,GSN-01,-93,26.00,81.10,39,1,0,7.78,83,8.81
GSN_RCV,20240415_083504,GSN-01,-92,26.00,74.60,42,0,0,7.76,84,8.82
GSN_RCV,20240415_083505,GSN-01,-74,25.50,76.00,41,0,0,7.78,84,8.82
GSN_RCV,20240415_083506,GSN-01,-92,24.40,74.50,39,0,0,7.75,84,8.83
GSN_RCV,20240415_083507,GSN-01,-74,26.40,74.10,38,0,0,7.77,84,8.83
GSN_RCV,20240415_083508,GSN-01,-95,24.90,73.50,41,0,0,7.74,84,8.84
GSN_RCV,20240415_083509,GSN-01,-83,24.40,79.50,40,0,0,7.78,84,8.84
GSN_RCV,20240415_083510,GSN-01,-79,23.80,81.20,42,0,0,7.78,83,8.85
GSN_RCV,20240415_083511,GSN-01,-89,24.90,71.80,44,1,0,7.78,83,8.85
GSN_RCV,20240415_083512,GSN-01,-81,25.50,78.70,41,0,0,7.75,83,8.86
GSN_RCV,20240415_083513,GSN-01,-77,23.80,78.70,36,0,0,7.76,84,8.86
GSN_RCV,20240415_083514,GSN-01,-76,24.70,75.90,41,1,0,7.75,84,8.87
GSN_RCV,20240415_083515,GSN-01,-72,26.40,80.10,35,0,0,7.74,84,8.87
GSN_RCV,20240415_083516,GSN-01,-77,23.60,78.40,39,0,0,7.77,83,8.88
GSN_RCV,20240415_083517,GSN-01,-72,24.00,73.50,44,0,0,7.76,84,8.88
GSN_RCV,20240415_083518,GSN-01,-92,24.30,79.80,36,0,0,7.74,83,8.89
GSN_RCV,20240415_083519,GSN-01,-76,25.20,72.40,39,0,0,7.76,83,8.89
GSN_RCV,20240415_083520,GSN-01,-88,23.80,80.00,36,0,0,7.77,83,8.90
GSN_RCV,20240415_083521,GSN-01,-92,23.90,76.50,42,0,0,7.75,84,8.90
GSN_RCV,20240415_083522,GSN-01,-91,24.80,79.00,36,0,0,7.74,84,8.91
GSN_RCV,20240415_083523,GSN-01,-80,25.00,81.00,42,0,0,7.77,83,8.91
GSN_RCV,20240415_083545,GSN-01,-77,24.40,79.40,41,0,0,7.75,83,8.92
GSN_RCV,20240415_083546,GSN-01,-79,24.40,79.00,35,0,0,7.76,83,8.92
GSN_RCV,20240415_083547,GSN-01,-75,25.10,71.70,38,0,0,7.77,83,8.93
GSN_RCV,20240415_083548,GSN-01,-81,26.40,71.70,35,1,0,7.77,83,8.93
GSN_RCV,20240415_083549,GSN-01,-93,24.70,71.80,38,0,0,7.77,84,8.94
GSN_RCV,20240415_083550,GSN-01,-75,25.90,81.10,39,0,0,7.78,83,8.94
GSN_RCV,20240415_083551,GSN-01,-95,24.60,71.40,41,0,0,7.78,84,8.95
GSN_RCV,20240415_083552,GSN-01,-71,24.90,74.40,37,0,0,7.76,83,8.95
GSN_RCV,20240415_083553,GSN-01,-87,25.80,75.30,42,0,0,7.76,83,8.96
GSN_RCV,20240415_083554,GSN-01,-91,25.40,73.20,38,0,0,7.76,84,8.96
GSN_RCV,20240415_083555,GSN-01,-76,23.70,75.50,41,0,0,7.74,83,8.97
GSN_RCV,20240415_083556,GSN-01,-88,26.30,71.40,43,0,0,7.76,84,8.97
GSN_RCV,20240415_083557,GSN-01,-87,26.30,72.10,43,0,0,7.77,83,8.98
GSN_RCV,20240415_083558,GSN-01,-91,25.20,72.40,37,0,0,7.78,84,8.98
GSN_RCV,20240415_083559,GSN-01,-90,23.60,77.10,42,0,0,7.74,83,8.99
GSN_RCV,20240415_083600,GSN-01,-77,24.20,78.30,44,0,1,7.74,83,8.99
